Id,SalePrice
1461,116061.61422752157
1462,161008.31523426645
1463,189989.3716809085
1464,189934.24044315564
1465,192516.75829523863
1466,174606.32979494878
1467,174906.56019769824
1468,167752.70164237154
1469,182190.9186098924
1470,125664.9774080367
1471,207681.32218249288
1472,95256.3565449354
1473,100302.61688411034
1474,154147.87997214205
1475,122214.89187017627
1476,402061.1082081286
1477,254055.2517312799
1478,301079.0547967094
1479,277149.913950634
1480,477610.619859965
1481,327802.52735600935
1482,209516.43861368042
1483,169304.43129045167
1484,168257.4134399203
1485,174347.30531040672
1486,197634.92693929232
1487,361804.1265135881
1488,230586.5180305943
1489,214181.19767924317
1490,220217.14400374822
1491,190106.27912660586
1492,86065.89552300864
1493,185756.20331222372
1494,295527.78323451785
1495,289078.0608974623
1496,231834.8418115043
1497,189906.67757942597
1498,161866.42579266627
1499,158712.62784524783
1500,152977.65985191223
1501,176961.04412654872
1502,155058.92983674243
1503,318694.7365325963
1504,239545.89965201265
1505,224760.7510729481
1506,183214.12030882857
1507,237461.61429862335
1508,195006.07847493485
1509,156141.93847315994
1510,146183.15967571136
1511,139351.32103279547
1512,168274.9944601981
1513,142971.5139162677
1514,167638.63946591434
1515,195824.87959764636
1516,150440.00612361374
1517,159567.30149425016
1518,128167.96862131497
1519,227411.55162799908
1520,133544.12541824716
1521,134540.61646606287
1522,168604.22092899343
1523,107714.72981844516
1524,117415.42820184442
1525,118667.29557269135
1526,112084.14510556475
1527,102279.79462694727
1528,128167.0114072687
1529,146887.71400645672
1530,169743.87824392034
1531,109679.81815113693
1532,98555.00867051116
1533,147936.59984420688
1534,115593.58712828362
1535,151207.05642240852
1536,107804.56596594992
1537,66599.78666903662
1538,167080.8814164784
1539,193978.13846892063
1540,100025.43389477402
1541,142355.11310535073
1542,140845.11803743528
1543,221836.05227803258
1544,81121.71145379536
1545,103873.49337867218
1546,133135.30556504536
1547,133838.88933531896
1548,137436.6989345121
1549,113785.95732461149
1550,140909.64319384497
1551,109893.38835945167
1552,145668.71729520994
1553,140318.14113143636
1554,110355.51068086372
1555,176611.22718214482
1556,92080.26917531417
1557,106417.14931715275
1558,91837.16097609921
1559,87507.33949764623
1560,129976.04983508642
1561,142849.8087199807
1562,127997.71974260808
1563,121082.59325464192
1564,159674.86346668913
1565,149266.2073572319
1566,236043.37226510202
1567,62516.56243341854
1568,231723.3179843153
1569,145413.45365944173
1570,140489.744605314
1571,129000.5617433901
1572,150905.6002362235
1573,257648.5802436103
1574,106131.87729155229
1575,217151.65612827108
1576,234388.11235224095
1577,200325.7977939137
1578,140402.76443111672
1579,146056.6700446399
1580,196620.18215528573
1581,161714.63836204528
1582,123540.81800292202
1583,324697.2497852961
1584,229189.87000953767
1585,141478.7341951741
1586,71356.45080513245
1587,96948.6316981151
1588,149174.17428925674
1589,89284.46634950858
1590,134649.08230542514
1591,92728.55953393225
1592,128999.63329456557
1593,126092.87325541207
1594,153114.2029114589
1595,103796.30502203063
1596,240507.10748265852
1597,181948.79037824314
1598,193096.66226004605
1599,188227.58231806493
1600,183613.9597454202
1601,67330.53519264812
1602,109646.11246981185
1603,84817.70220754686
1604,279208.87249667855
1605,246618.92054903563
